Gene	Num
TCHHL1	19
OR5I1	19
IL7R	19
UGT2B28	19
NCOR2	19
OTOA	19
GAD2	19
DLGAP3	19
IFT172	19
GRIA4	19
ZNF658	19
GABRB1	19
ABCC8	19
CDH20	19
COL2A1	19
OR4M1	19
SLC6A15	19
DGKK	19
ABCA8	19
BACH2	19
PRDM14	19
SLC6A5	19
PRRC2C	19
UGT2B4	19
ITGAE	19
FMO1	19
CD5L	19
MADD	19
HERC1	19
ZNF492	19
ANO5	19
ACACB	19
C2CD3	19
OR14C36	19
USP26	19
NOL4	19
CENPE	19
GREB1	19
GABRA5	19
FCRL2	19
ZNF33A	19
MARCO	19
ZNF236	19
SP140	19
EVC2	19
CSPG4	19
MAP3K19	19
SPTBN4	19
DRD5	19
PCDHA11	19
GLRA2	19
ACSM2B	19
PDILT	19
C6	19
CCDC80	19
LRRTM1	19
REG1B	19
OR5AS1	19
PKD1	19
TIMD4	19
EPRS	19
PDZD2	19
DNAH17	19
MAGEB4	19
KCND2	19
ITGAL	19
DSC3	19
ZIM2	19
PCDHB13	19
PCDH20	19
IGSF22	19
SYT4	19
UNC45B	19
GPR139	19
GABRA6	19
SLC26A7	19
ZNF711	18
OR8K5	18
DLG5	18
SNRNP200	18
ANKFN1	18
ATR	18
AOX1	18
CFHR4	18
GRIK3	18
ZSCAN1	18
SIPA1L1	18
SERPINB4	18
ADAMTS9	18
SIGLEC1	18
ATP8B4	18
KCNK10	18
PCNX	18
NUTM1	18
CTNNB1	18
ZNF835	18
POTEG	18
OR2A25	18
OR10AG1	18
PABPC5	18
BICC1	18
CDH4	18
WDR72	18
ADCY1	18
PHLDB2	18
KLHL38	18
MROH7	18
HECTD1	18
NCOA6	18
AEBP1	18
CEP170	18
GBA3	18
FLT3	18
TRANK1	18
INPP4B	18
ATP1A2	18
POP1	18
GPR101	18
ITPR3	18
CD1E	18
NCKAP1L	18
KDM5C	18
LMX1A	18
AXDND1	18
SPATA31A7	18
UNC13A	18
NUP214	18
BNC2	18
CADPS	18
HOXA3	18
IL1RAPL2	18
MAGEB6	18
HCRTR2	18
ELMO1	18
FGA	18
RGS22	18
IL18RAP	18
DNMT3A	18
ENOX1	18
LAMC1	18
OR4N2	18
IMPG2	18
USP6	18
NUP205	18
GJA8	18
OR6N2	18
ROBO3	18
ROBO4	18
TGIF2LX	18
UNC5C	18
NOTCH1	18
OR4A47	18
DIO2	18
OR5D18	18
KIF19	18
CNTN4	18
ITGAM	18
NOTCH2	18
KIAA1551	18
ZFHX3	18
OR4C13	18
TDRD5	18
CALCR	18
ADAMTS17	18
NPAS4	18
TMPRSS11E	18
PCNT	18
OR5M3	18
LRRN2	18
CCER1	18
NUP210	18
OLFML2B	18
LRRK1	18
MPPED2	18
CPZ	18
PCDHA12	18
SETX	18
ROS1	18
FLT4	18
ABI3BP	18
OR2A2	18
MC5R	18
BMS1	18
BEND2	18
BNC1	18
GHR	18
ZZEF1	18
TRIM42	18
ADAM29	18
ZC3H13	18
XIRP1	18
MYO3B	18
PCDHB1	17
BTAF1	17
CYP26B1	17
PLB1	17
ZGRF1	17
PXDN	17
ARHGAP21	17
SLC4A1	17
MUC3A	17
SLC5A7	17
SVIL	17
ADAMTS1	17
CYLC1	17
PCDHA13	17
CNGA2	17
NIPBL	17
CILP2	17
ADGRB1	17
SPATA18	17
CDH17	17
TSHR	17
OR5R1	17
PEAK1	17
ARHGEF11	17
PROX1	17
CRISPLD1	17
KIAA0556	17
TAF3	17
TAS2R1	17
ANKHD1-EIF4EBP3	17
ARSF	17
MMP2	17
ACKR1	17
FRMPD2	17
NINL	17
SALL3	17
YLPM1	17
CPAMD8	17
OR5T1	17
GAB4	17
C5orf42	17
GBP4	17
MAGEC3	17
PALD1	17
UGT2A1	17
SERPINA9	17
C9	17
KRTAP24-1	17
CHST1	17
ENPEP	17
KCTD8	17
SLC14A2	17
SMAD4	17
TRIML2	17
PCDHGA9	17
HOXB3	17
PSG11	17
CEP128	17
PTCHD3	17
TNS1	17
COL27A1	17
GRIA3	17
CNBD1	17
DNER	17
MARK1	17
PRAMEF15	17
CD109	17
CDH22	17
CDX4	17
RXFP1	17
STAG2	17
NSD1	17
TTLL7	17
SULF2	17
TIAM2	17
NOVA1	17
GPR179	17
ATP7B	17
PCDHA8	17
COL20A1	17
TRIM29	17
GPC6	17
MSH4	17
LILRB4	17
SORL1	17
TRIM48	17
WSCD2	17
VWA3B	17
RASGRF2	17
GP2	17
MAGI1	17
COL6A2	17
TRIP12	17
ATP10A	17
OR14I1	17
TEX13A	17
SPEN	17
OR8K1	17
GPR50	17
IGSF9B	17
CYP11B1	17
CCDC88A	17
PLEKHA7	17
WNK3	17
OR2C3	17
MTMR8	17
OR4K13	17
INSC	17
ABCC12	17
SLC10A2	17
FGD5	17
MAATS1	17
KIR3DL1	17
BTK	17
RFX6	17
SHPRH	17
SLC24A2	17
MNDA	17
NTM	17
SIGLEC12	17
KANK4	17
SLCO6A1	17
LUM	17
RAPGEF2	17
THOC2	17
UMOD	17
NCAM1	17
MGAT5B	17
C8B	17
DSC2	17
C2orf71	17
GALNT8	17
C2orf16	17
SCN8A	17
UTRN	17
BZRAP1	17
GALNT14	17
OR4D11	17
PCDH11Y	16
ABCA6	16
BRCA1	16
PLA2G4A	16
GABRA3	16
HDX	16
RET	16
TMTC3	16
COL4A4	16
COL11A2	16
NCAPD3	16
PIK3AP1	16
PIEZO2	16
PGBD1	16
PLCG2	16
HAS2	16
OR2T2	16
BRDT	16
CFAP58	16
GPRASP2	16
SCN9A	16
CFHR5	16
OR52R1	16
ABCA1	16
TGM6	16
SOX6	16
EPHA4	16
MBD5	16
ZPLD1	16
TBX18	16
AHCTF1	16
LAMB3	16
OR4P4	16
ZNF677	16
RBM19	16
KLB	16
DOCK9	16
PIK3R4	16
POU3F4	16
CEP152	16
SLC45A2	16
C1orf94	16
KIAA0100	16
SPTBN5	16
AUTS2	16
CACNA2D3	16
OR10A2	16
FYB	16
POU6F2	16
VEGFC	16
GLDC	16
GPR85	16
CACNA2D4	16
SLCO1B1	16
HK3	16
SOX5	16
EFHB	16
IMPG1	16
OR4K2	16
MCF2	16
TRIM49C	16
GPR174	16
LINGO2	16
ABCA5	16
OR51D1	16
KCNS2	16
GABRA1	16
DNAI2	16
RAB3GAP2	16
RIMS1	16
ZFP64	16
CCDC73	16
PTPRO	16
ZNF91	16
DOCK5	16
TAF1	16
RBBP6	16
OR1S2	16
ARHGEF12	16
ASCC3	16
SMARCA1	16
RASAL2	16
OR10J1	16
RPE65	16
SLCO1C1	16
CLEC4F	16
KIRREL2	16
SLC26A3	16
VN1R2	16
POTEC	16
NPAS3	16
RPL10L	16
MYOCD	16
PRRC2B	16
GNAS	16
PIKFYVE	16
VGLL3	16
MAGEB18	16
FRMD7	16
TRIM9	16
PLXNB2	16
NPFFR2	16
GLI1	16
OR5A1	16
FCRL4	16
ZNF107	16
FASN	16
FOXG1	16
IRS1	16
SIPA1L3	16
CMKLR1	16
NOS2	16
DOCK11	16
GPC5	16
ARHGEF17	16
CR2	16
WDR64	16
ZNF385D	16
OLFM3	16
ZNF462	16
CHAT	16
GDF10	16
SELE	16
PDCD11	16
ERCC5	16
MPDZ	16
SRGAP1	16
ANKRD12	16
OR56A1	15
CCDC40	15
CACNA1G	15
DPY19L2	15
OR5B12	15
WNK1	15
ADAMTS6	15
IRX1	15
PSG3	15
TTC17	15
TOX2	15
DPYS	15
KCNT1	15
SMC3	15
NPC1L1	15
MYO15A	15
OPHN1	15
HCK	15
TGFBR3	15
CFAP46	15
KIF17	15
TTC12	15
ATP13A5	15
OR10K2	15
MGAT4C	15
RPTN	15
ABCD2	15
PLCH1	15
DIAPH3	15
NPY5R	15
LIPI	15
PTPN13	15
SALL4	15
KRTAP11-1	15
SLC12A2	15
PRKCG	15
OFD1	15
ZC3H12B	15
SERPINA5	15
KCNMA1	15
NOX3	15
TXLNB	15
OR8K3	15
IGSF11	15
CHRND	15
OR10W1	15
ANO2	15
POF1B	15
TAS2R16	15
CHGB	15
SCAF8	15
ST8SIA6	15
CPB1	15
CCDC150	15
SPTAN1	15
TAAR6	15
PIK3C2B	15
ZSCAN5B	15
SHANK2	15
MEFV	15
CNTLN	15
CCDC136	15
NOBOX	15
AMOT	15
SLC1A6	15
RTN1	15
MAP3K4	15
OR13F1	15
SLC17A4	15
MYH9	15
EYA1	15
TTI1	15
OR6N1	15
OR5B3	15
DIP2C	15
SV2A	15
STARD8	15
NLRC5	15
PRKG1	15
OR51A7	15
DRP2	15
FN1	15
TGM4	15
SV2C	15
ANKRD44	15
OR2D3	15
ZNF578	15
MAN2A1	15
SRGAP3	15
PARD3	15
CSF1R	15
FAM83C	15
ADGRA3	15
WRN	15
PKP4	15
DDR2	15
MYT1	15
GPR156	15
OR56A3	15
PTGS1	15
SLC9A9	15
OR51G2	15
PLXNA3	15
ADAMTS7	15
ADAMTS15	15
ARFGEF3	15
CHM	15
OR10R2	15
PDE11A	15
NCOA2	15
ZNF592	15
KNTC1	15
ABL2	15
ABCG5	15
PRDM2	15
KCTD3	15
EBF3	15
PPEF2	15
GALNTL6	15
TTBK1	15
OR4L1	15
CEP192	15
CABS1	15
INTU	15
NRP2	15
PEAR1	15
ZNF304	15
MORC1	15
OR8H3	15
PALLD	15
PRAMEF4	15
GPR148	15
TBX4	15
TRPC3	15
SMARCA2	15
TBX5	15
KCNJ2	15
PLEKHG4B	15
NLRP9	15
SLC9A6	15
FCRL3	15
DCLRE1A	15
CACNB2	15
LZTS1	15
PCDHGA7	15
ZNF496	15
DCLK3	15
PLD1	15
MGAT3	15
CORIN	15
TINAG	15
CRB2	15
EPB41L2	15
SH3TC2	15
MEGF8	15
PRDM16	15
MDC1	15
CNTN2	15
CFAP74	15
BCL9L	15
TRPC7	15
C7orf60	15
ARHGAP31	15
C11orf63	15
TNS3	15
ATF7IP	15
DLGAP1	15
TAS2R41	15
SLC17A3	15
KCNH2	15
TMPRSS11A	15
PDE6A	15
POT1	15
ARHGAP15	15
IGFN1	15
CHD9	15
HS3ST5	15
SIGLEC8	15
DDX26B	15
GPR149	15
RPTOR	15
OR4D6	14
SLC5A1	14
HCLS1	14
EDNRB	14
RXRG	14
CSRNP3	14
FMO2	14
CNOT1	14
SIGLEC9	14
SH3BP4	14
EIF4G3	14
HAPLN1	14
ITGA2	14
SYTL4	14
MAGEB1	14
IGKV1D-16	14
CNTN6	14
ILDR2	14
WWC3	14
FAP	14
HDAC4	14
STON2	14
SGCZ	14
FRMD6	14
ADAM12	14
EPPK1	14
ZNF382	14
URB2	14
ENTHD1	14
DRD2	14
HNF4A	14
PPP1R16B	14
TBR1	14
TBX3	14
ARHGAP35	14
PPRC1	14
HSD3B2	14
POLA1	14
IGDCC4	14
AOC1	14
REG1A	14
MPO	14
PSG9	14
UNC80	14
OR5K3	14
LRBA	14
DMXL2	14
SCG2	14
USP51	14
OR10K1	14
CEP164	14
BRIP1	14
PIK3C2G	14
ZNF761	14
SLC5A12	14
CPQ	14
GPRASP1	14
ADAM33	14
GBP5	14
EYA4	14
SIM1	14
ROCK1	14
PIWIL1	14
TACR3	14
LMO7	14
ADGRG6	14
OR51E2	14
LRRTM3	14
SV2B	14
PTCH1	14
OR1S1	14
CALCRL	14
KIF4A	14
GPR65	14
SGOL2	14
ZFC3H1	14
SYT9	14
WDR66	14
CRIM1	14
GAK	14
ZNF648	14
KIF26B	14
FOXD4L5	14
HIVEP1	14
GON4L	14
R3HCC1L	14
XKR7	14
MYO7A	14
PRAME	14
CPXM1	14
ZNF827	14
CPXCR1	14
CALN1	14
FOXP2	14
SLC6A2	14
NFATC2	14
SF1	14
LILRB5	14
ACACA	14
ANO7	14
NHS	14
LDB2	14
AKAP13	14
SLC4A8	14
NCOA1	14
TTC21B	14
DSE	14
SLC22A16	14
GBP6	14
CSPP1	14
