Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-55-6978-11A-01R-1949-07	0.0213481727797769	0	0.00163663200368823	0.0549360067431906	0	0.212009331317367	0	0	0	0	0.132517176801037	0.00529337871403165	0.0816121709329895	0.138706882262862	0.0373400471617929	0.158536360737185	0.00376669592323239	0.0347833468121929	0.0878003672836089	0	0.0102896178675209	0.019423812659524	0.00600000000000001	0.291508690964988	0.962686498058679
TCGA-55-6972-11A-01R-1949-07	0.0819989643352202	0	0.0286153459194463	0.193744464383851	0	0.191635081695722	0	0	0	0	0.0948712365490854	0.0335460391005626	0.0437294921857384	0.0705778170403922	0.0223938126362278	0.151446805827544	0.00523636544314774	0.0162419924039105	0.0540699137050743	0	0	0.011892668774077	0.00800000000000001	0.274793879384809	0.974211754406768
TCGA-55-6985-11A-01R-1949-07	0.0726639342932602	0	0.00918940491684753	0.0831869254187414	0	0.172897400612468	0.0205812000282661	0	0	0	0.0135578229778774	0.00407675092943789	0.0441364318743414	0.299942801282303	0.00729585881920658	0.15406472380797	0.0207343162167632	0.021064448475048	0.0501042102145782	0.000772562537703744	0.0184621557419059	0.0072690518532819	0.005	0.294752395920894	0.966430930196145
TCGA-44-6147-11A-01R-1858-07	0.0768630384452761	0	0.0290405696914339	0.0389681574374014	0	0.156563964463793	0.0132261045552644	0	0	0	0.0764359114894677	0	0.0508147029485049	0.206861587752406	0.0112444838306263	0.105846691726369	0	0.0524244610685127	0.0421543721929722	0	0.0206425649780865	0.118913389419886	0.016	0.248890363289651	0.98223125040556
TCGA-MP-A4T8-01A-11R-A24X-07	0.057852174190437	0	0.0397944388921974	0.0326527733023784	0	0.00696577264076607	0	0.0314079217466258	0.0757767675174909	0	0	0.0083190644694671	0	0.450767436490488	0	0.117200932922775	0	0.149666266358157	0.0244381457436515	0	0	0.00515830572556508	0.002	0.372062024942588	0.941903151126709
TCGA-MP-A4T6-01A-32R-A262-07	0.141173449240868	0	0.0534871294537938	0.0690161678138016	0	0.180720686571511	0	0.046563313952437	0.0506910712932054	0	0	0.0215580866061152	0	0.284285560323408	0.0474138241363176	0.0600572795009279	0.0051766038166552	0.000878355051127392	0.0369953988098478	0	0	0.00198307342998407	0.003	0.332885297827987	0.949468066296842
TCGA-49-4510-01A-01R-1206-07	0.171289419221065	0	0.296003496132432	0.0598386272034243	0	0.0958253161999975	0	0.0319460590037028	0	0	0	0.044955683119857	0.00679624502741235	0.00211039753181041	0.00482152676475237	0.160982332399905	0.0201456820894915	0.024867558750828	0.077456389066511	0	0	0.00296126748881082	0	0.520275668914405	0.855835925184649
TCGA-67-3772-01A-01R-0946-07	0.0365103805829356	0	0.140925229392548	0.0676137170635621	0	0.154993656277689	0.0177910207413718	0	0	0.0139254878245576	0	0	0.031972791706051	0.0383462879841012	0.0212890613842368	0.128989336505828	0.234799188417781	0.0326855802528471	0.0730851661176605	0	0	0.00707309574882894	0.00600000000000001	0.287445083482552	0.963270295892662
TCGA-69-7763-01A-11R-2170-07	0.136898696075366	0	0.174799455376899	0.0769401146559153	0	0.189295371431241	0.0114119254107733	0.0204464803559323	0.0185830130857865	0	0	0.0156587000277533	0.0207182507921273	0.0900926491241883	0.0179966943057309	0.132468402045596	0.00579952195284833	0.0249927727921505	0.0610711631906769	0	0	0.00282678937701525	0.001	0.425756190353235	0.904748735038671
TCGA-05-4410-01A-21R-1858-07	0.0938196301370742	0	0.281333239875574	0.126379763207806	0	0.0942329155628905	0.0656562137996564	0.0379084996654721	0.000798123615153262	0	0.0163633555555361	0	0.00613155954344479	0.0508510138270118	0.092428213802598	0.0799111514134609	0.0163367536584847	0.000251319581530874	0.0375982467543063	0	0	0	0	0.502916310832344	0.864549801953002
TCGA-95-7039-01A-11R-1949-07	0.153126740444508	0	0.0301273690230139	0.170189616604411	0	0.143315615694053	0	0.00842265948491594	0.00521267173384048	0	0	0.0233500797596728	0	0.164485034123611	0.126349056495174	0.116280006136397	0.00343148413486778	0	0.0557096663655343	0	0	0	0.00600000000000001	0.290484687688567	0.968163115342517
TCGA-MP-A4TC-01A-11R-A24X-07	0.0528930588286586	0	0.0355771229291167	0.121134198507816	0	0.0929724265703018	0.0698613362418198	0.0280985358763405	0.0184722556875004	0	0.0174978691229344	0	0	0.276231648298997	0.0796162245399629	0.142779665788718	0.0294251777224931	0	0	0.033569938057415	0	0.00187054182792631	0.026	0.217872342134956	1.00054376759441
TCGA-62-A46S-01A-11R-A24H-07	0.106591758471722	0	0.207272748089905	0.0917022118315999	0	0.143798665097254	0.0174320489903798	0.014810431256251	0.0308433793935214	0	0	0.0130677922860896	0.0129089888323695	0.0680898036947659	0.0744125835703613	0.084602913018449	0.070571364416878	0	0.0462184088219459	0	0	0.0176769022285071	0	0.494120431905948	0.868879753699889
TCGA-95-A4VK-01A-11R-A262-07	0.196907420221184	0	0.0419376408801944	0.124563356990022	0	0.200442107326851	0.0176388624612195	0.063374170531294	0.0268407161187064	0	0	0.0183051395160174	0	0.123223046768423	0.0781014720479911	0.049739062683456	0	0.0187816296173519	0.0401453748372885	0	0	0	0.002	0.358918195679585	0.937573286627173
TCGA-49-AARO-01A-12R-A41B-07	0.17388843259458	0	0.0758147308867644	0.0572196882467381	0	0.134236309878601	0.0226855470102998	0.0423584059405621	0.0172233980379933	0	0.0107647511181927	0	0.00591414706903842	0.227528897104915	0.0348237515929564	0.095649303923285	0.0569157982457352	0.0262736320995593	0.0180193201237485	0	0	0.000683886127031047	0.001	0.43928985295168	0.897675535394425
TCGA-55-7994-01A-11R-2187-07	0.0284182684120319	0	0.00142905986252109	0.205736091255091	0	0.0473096820672736	0.0853699509745315	0.0297121633332011	0.0234724446256972	0	0.0562016123101833	0	0.000965726403507394	0.155827409889277	0.122107245893049	0.167466996200803	0.0280952219537826	0.0176141009178725	0.0302740259011765	0	0	0	0.005	0.305561306926768	0.960735288445398
TCGA-49-6743-01A-11R-1858-07	0.167298682664853	0	0.122499364837884	0.0876114338378578	0	0.178977742967016	0.00898312783921766	0.0249536437351544	0.0100102212417341	0	0	0	0.00925236999858904	0.184149631656689	0.0813425826188132	0.108412692756339	0	0	0.00830770175001473	0.000922842322287946	0	0.00727796177354998	0.001	0.44433384739771	0.895285990798501
TCGA-78-7149-01A-11R-2039-07	0.194099341232837	0	0.232074109343177	0.101701215651005	0	0.173218802609291	0	0.0167018598675976	0.0098948387504087	0	0	0.0244425927934078	0	0.0513332999971425	0.0655005537190993	0.0537944590865638	0	0	0.0687301383876861	0	0	0.00850878856178379	0	0.536750293994435	0.843091991983992
TCGA-44-7660-01A-11R-2066-07	0.0612018100695916	0	0.0189196306834028	0.101700708761556	0	0.259901054624005	0.006521088768646	0.0399405268230006	0.0117507258399619	0	0.0197129836415155	0.0219114104999079	0.024412621072885	0.0926208030357151	0.0982272213323826	0.217641617845293	0.0252755627458368	0	0	0.000262234256300617	0	0	0.0639999999999999	0.140596573607728	1.03249064367075
TCGA-53-7626-01A-12R-2066-07	0.125241026289481	0	0.0934314561840987	0.136071447720061	0	0.243232810579722	0	0.0522099845325292	0	0	0	0.0018168987596876	0.0254799075734446	0.0645684038823153	0.0563564152655203	0.11146036478945	0.0221832705366099	0.00728927646934706	0.0328635267021722	0.0130945436657242	0	0.0147006670498371	0.003	0.339996866930592	0.94455631524798
TCGA-44-8119-01A-11R-2241-07	0.13094683452297	0	0.139928699957654	0.0567616130100718	0	0.125105001755643	0.0420349289483506	0	0.0111501728439462	0	0.017138336093087	0.0166302953480349	0	0.271242350076658	0.0516899846305972	0.110544415986849	0	0	0.0232134736533668	0	0	0.00361389317277156	0.003	0.3490417860264	0.943723166303162
TCGA-44-2656-01A-02R-0946-07	0.0919158494675867	0	0.123324442747939	0.187936170650142	0	0.124603066790863	0.0391169365616981	0.0339849117632039	0	0	0	0.0338235285716819	0.0166504344011795	0.0346779046550484	0.0761291611461093	0.122354790780811	0.0269716435042983	0.00135023618244083	0.0763923435595567	0	0.00522791520305957	0.00554066401438231	0.003	0.35017281639685	0.938933250432069
